Wavelength;Normalized Flux;
;;
6000.006783;0.963235777;
6000.018435;0.962543705;
6000.030087;0.961809868;
6000.041737;0.961715233;
6000.053388;0.961143664;
6000.065037;0.96077299;
6000.076686;0.960102209;
6000.088334;0.960787467;
6000.099982;0.964126594;
6000.111629;0.969008305;
6000.123275;0.974659123;
6000.134921;0.980411774;
6000.146566;0.985160871;
6000.15821;0.989038634;
6000.169854;0.992083659;
6000.181497;0.993993802;
6000.193139;0.995069107;
6000.204781;0.9963572;
6000.216422;0.996501429;
6000.228063;0.996545308;
6000.239702;0.99749275;
6000.251342;0.997071347;
6000.26298;0.997295679;
6000.274618;0.997130954;
6000.286255;0.996406639;
6000.297892;0.994943041;
6000.309528;0.994182764;
6000.321163;0.993972167;
6000.332798;0.992700486;
6000.344432;0.9923356;
6000.356066;0.992509595;
6000.367698;0.992094964;
6000.379331;0.992461087;
6000.390962;0.993100855;
6000.402593;0.994522213;
6000.414223;0.995475193;
6000.425853;0.996076898;
6000.437482;0.99743563;
6000.44911;0.997715534;
6000.460738;0.997365162;
6000.472365;0.996006449;
6000.483991;0.99480311;
6000.495617;0.99301871;
6000.507242;0.990312074;
6000.518866;0.986968715;
6000.53049;0.983650258;
6000.542113;0.978862508;
6000.553736;0.97210657;
6000.565358;0.963637085;
6000.576979;0.953887024;
6000.5886;0.941842316;
6000.60022;0.927431686;
6000.611839;0.91322226;
6000.623458;0.900122547;
6000.635076;0.888406739;
6000.646693;0.880239642;
6000.65831;0.876367962;
6000.669926;0.877836251;
6000.681541;0.883290542;
6000.693156;0.892096946;
6000.70477;0.903967774;
6000.716384;0.917075008;
6000.727997;0.929283654;
6000.739609;0.941297551;
6000.751221;0.951666084;
6000.762832;0.960296703;
6000.774442;0.96843754;
6000.786052;0.974014102;
6000.797661;0.977745724;
6000.809269;0.98093674;
6000.820877;0.982579831;
6000.832484;0.983200927;
6000.844091;0.984134264;
6000.855696;0.985184633;
6000.867302;0.985120282;
6000.878906;0.985328243;
6000.89051;0.985750801;
6000.902113;0.984632921;
6000.913716;0.984412186;
6000.925318;0.98398727;
6000.936919;0.984100543;
6000.94852;0.98347332;
6000.96012;0.981963736;
6000.97172;0.981128569;
6000.983318;0.979164045;
6000.994917;0.977188222;
6001.006514;0.975992593;
6001.018111;0.975296853;
6001.029707;0.975725998;
6001.041303;0.975952285;
6001.052898;0.976947649;
6001.064492;0.978190031;
6001.076086;0.978612945;
6001.087679;0.980056531;
6001.099271;0.982115906;
6001.110863;0.984370775;
6001.122454;0.985696347;
6001.134045;0.9874423;
6001.145634;0.98986515;
6001.157224;0.991395112;
6001.168812;0.993287563;
6001.1804;0.994487668;
6001.191987;0.99607616;
6001.203574;0.997230932;
6001.21516;0.997992549;
6001.226745;0.998368221;
6001.23833;0.998805452;
6001.249914;0.998930601;
6001.261498;0.999223121;
6001.27308;1.000115904;
6001.284663;1.000507415;
6001.296244;1.000458233;
6001.307825;1.000761349;
6001.319405;1.000851442;
6001.330985;1.001203109;
6001.342564;1.001413335;
6001.354142;1.001362787;
6001.36572;1.001062865;
6001.377297;1.000034269;
6001.388873;1.000410471;
6001.400449;0.999233377;
6001.412024;0.998557209;
6001.423599;0.997636849;
6001.435172;0.996588699;
6001.446746;0.996014377;
6001.458318;0.995052161;
6001.46989;0.994387231;
6001.481461;0.994206796;
6001.493032;0.99466645;
6001.504602;0.994823385;
6001.516171;0.995676721;
6001.52774;0.99535451;
6001.539308;0.995822901;
6001.550876;0.996825527;
6001.562443;0.996549371;
6001.574009;0.997089193;
6001.585574;0.997752768;
6001.597139;0.997279784;
6001.608703;0.997068708;
6001.620267;0.996863437;
6001.63183;0.99683783;
6001.643392;0.996650124;
6001.654954;0.996607365;
6001.666515;0.996595518;
6001.678076;0.996359715;
6001.689635;0.996093182;
6001.701194;0.996106455;
6001.712753;0.99542705;
6001.724311;0.996213825;
6001.735868;0.996123629;
6001.747425;0.996927285;
6001.758981;0.99775026;
6001.770536;0.998663223;
6001.782091;0.9995739;
6001.793645;0.999861661;
6001.805198;1.000633917;
6001.816751;1.001047557;
6001.828303;1.001200188;
6001.839854;1.00108702;
6001.851405;1.000639503;
6001.862955;1.000822832;
6001.874505;0.999483712;
6001.886054;0.998657979;
6001.897602;0.998490339;
6001.90915;0.99737774;
6001.920697;0.997995696;
6001.932243;0.998235533;
6001.943789;0.998302855;
6001.955334;0.998568755;
6001.966878;0.998601107;
6001.978422;0.998262062;
6001.989965;0.998012834;
6002.001508;0.997894004;
6002.01305;0.997850087;
6002.024591;0.998656204;
6002.036132;0.998472826;
6002.047672;0.997872529;
6002.059211;0.998222851;
6002.07075;0.998199929;
6002.082288;0.99834616;
6002.093825;0.998517417;
6002.105362;0.998112496;
6002.116898;0.997861368;
6002.128434;0.997646234;
6002.139969;0.996023662;
6002.151503;0.993718879;
6002.163037;0.991257199;
6002.17457;0.986995705;
6002.186102;0.980701067;
6002.197634;0.971853953;
6002.209165;0.959898663;
6002.220695;0.944019992;
6002.232225;0.924993337;
6002.243754;0.90163325;
6002.255283;0.876871498;
6002.26681;0.853606463;
6002.278338;0.834111811;
6002.289864;0.822116261;
6002.30139;0.819495291;
6002.312915;0.826569386;
6002.32444;0.840584749;
6002.335964;0.859977953;
6002.347488;0.880988957;
6002.35901;0.901547703;
6002.370533;0.919582721;
6002.382054;0.936091835;
6002.393575;0.949475293;
6002.405095;0.959026258;
6002.416615;0.965909148;
6002.428134;0.970436648;
6002.439652;0.97459939;
6002.45117;0.975332034;
6002.462687;0.975177454;
6002.474203;0.972744184;
6002.485719;0.968168563;
6002.497234;0.959659014;
6002.508748;0.947724803;
6002.520262;0.930438629;
6002.531776;0.906235309;
6002.543288;0.874932921;
6002.5548;0.835085127;
6002.566311;0.789263035;
6002.577822;0.74043082;
6002.589332;0.69357681;
6002.600841;0.655284438;
6002.61235;0.631168046;
6002.623858;0.623583567;
6002.635366;0.632805629;
6002.646873;0.657305388;
6002.658379;0.691991181;
6002.669884;0.732292879;
6002.681389;0.77348478;
6002.692894;0.812226677;
6002.704397;0.847225786;
6002.7159;0.877273285;
6002.727403;0.90258982;
6002.738905;0.922102959;
6002.750406;0.937478253;
6002.761906;0.949451322;
6002.773406;0.957033085;
6002.784905;0.962965504;
6002.796404;0.965472311;
6002.807902;0.965611264;
6002.819399;0.963157175;
6002.830896;0.957823523;
6002.842392;0.950723953;
6002.853887;0.939255472;
6002.865382;0.924212211;
6002.876876;0.90393807;
6002.888369;0.876125252;
6002.899862;0.839615135;
6002.911355;0.794499147;
6002.922846;0.738520976;
6002.934337;0.674034695;
6002.945827;0.605191193;
6002.957317;0.533480916;
6002.968806;0.468470501;
6002.980294;0.413191565;
6002.991782;0.373096492;
6003.003269;0.350748017;
6003.014756;0.34875638;
6003.026242;0.36583105;
6003.037727;0.401249911;
6003.049212;0.451770912;
6003.060695;0.510704667;
6003.072179;0.574536496;
6003.083661;0.63898366;
6003.095143;0.699309882;
6003.106625;0.753882817;
6003.118106;0.801671267;
6003.129586;0.841400371;
6003.141065;0.875547935;
6003.152544;0.903917589;
6003.164022;0.926231044;
6003.1755;0.944041106;
6003.186977;0.958869686;
6003.198453;0.969662046;
6003.209929;0.978283129;
6003.221404;0.984140045;
6003.232878;0.988087626;
6003.244352;0.990874648;
6003.255825;0.99211941;
6003.267298;0.992892668;
6003.27877;0.992493644;
6003.290241;0.991993134;
6003.301712;0.991904632;
6003.313182;0.990151696;
6003.324651;0.988830452;
6003.33612;0.989200217;
6003.347588;0.9899337;
6003.359055;0.989497106;
6003.370522;0.99053242;
6003.381988;0.991078981;
6003.393454;0.992056477;
6003.404918;0.993711547;
6003.416383;0.994050969;
6003.427846;0.994861667;
6003.439309;0.995963592;
6003.450772;0.996082546;
6003.462233;0.997479389;
6003.473694;0.998090697;
6003.485155;0.998086974;
6003.496615;0.998463881;
6003.508074;0.998967633;
6003.519532;0.998974558;
6003.53099;0.998903977;
6003.542448;0.99853994;
6003.553904;0.998334937;
6003.56536;0.998260611;
6003.576816;0.996901533;
6003.58827;0.996282364;
6003.599724;0.994839954;
6003.611178;0.994761927;
6003.622631;0.994529757;
6003.634083;0.994989195;
6003.645535;0.99560695;
6003.656985;0.995525777;
6003.668436;0.996248352;
6003.679885;0.996695071;
6003.691334;0.997084045;
6003.702783;0.997159403;
6003.714231;0.997652679;
6003.725678;0.998271526;
6003.737124;0.99826098;
6003.74857;0.998190736;
6003.760015;0.998013063;
6003.77146;0.997595148;
6003.782904;0.995711842;
6003.794347;0.994708178;
6003.80579;0.993515686;
6003.817232;0.992705236;
6003.828673;0.991938021;
6003.840114;0.991955609;
6003.851554;0.992094561;
6003.862994;0.992433728;
6003.874433;0.993264143;
6003.885871;0.994749022;
6003.897309;0.996156722;
6003.908746;0.997476349;
6003.920182;0.998340928;
6003.931618;0.99943033;
6003.943053;0.999560804;
6003.954487;0.999599884;
6003.965921;1.000250136;
6003.977354;1.000276903;
6003.988787;0.999570669;
6004.000219;0.999741662;
6004.01165;0.99962394;
6004.023081;0.999863924;
6004.034511;0.999254001;
6004.04594;0.998043255;
6004.057369;0.997229038;
6004.068797;0.99660304;
6004.080224;0.995464332;
6004.091651;0.995322038;
6004.103077;0.995039075;
6004.114503;0.994649332;
6004.125928;0.995381797;
6004.137352;0.996035601;
6004.148776;0.996350363;
6004.160199;0.997326342;
6004.171621;0.997934359;
6004.183043;0.998182574;
6004.194464;0.998454009;
6004.205885;0.998964387;
6004.217305;0.998219572;
6004.228724;0.997690661;
6004.240143;0.998214641;
6004.251561;0.998218892;
6004.262978;0.998602851;
6004.274395;0.998582377;
6004.285811;0.998760941;
6004.297226;0.997713033;
6004.308641;0.997525465;
6004.320055;0.997566338;
6004.331469;0.998117077;
6004.342882;0.997834099;
6004.354294;0.99850062;
6004.365706;0.998991825;
6004.377117;0.99877772;
6004.388527;1.000516454;
6004.399937;1.000679359;
6004.411346;1.00067558;
6004.422754;1.000664342;
6004.434162;0.999380319;
6004.445569;0.998190602;
6004.456976;0.996514612;
6004.468382;0.994844135;
6004.479787;0.992805288;
6004.491192;0.990556328;
6004.502596;0.988227847;
6004.514;0.98568294;
6004.525402;0.982935916;
6004.536805;0.981809618;
6004.548206;0.981753983;
6004.559607;0.981785764;
6004.571007;0.982322325;
6004.582407;0.983444846;
6004.593806;0.984497083;
6004.605204;0.985724123;
6004.616602;0.986353023;
6004.627999;0.986978375;
6004.639396;0.987889784;
6004.650791;0.988101522;
6004.662187;0.988396419;
6004.673581;0.98908124;
6004.684975;0.989638395;
6004.696369;0.989886136;
6004.707761;0.990289139;
6004.719153;0.990696162;
6004.730545;0.991005306;
6004.741936;0.99165272;
6004.753326;0.992051932;
6004.764715;0.993520068;
6004.776104;0.994090816;
6004.787492;0.994464761;
6004.79888;0.995834596;
6004.810267;0.997041197;
6004.821653;0.997653837;
6004.833039;0.998445747;
6004.844424;0.998641665;
6004.855809;0.998263289;
6004.867193;0.997549466;
6004.878576;0.995240677;
6004.889958;0.991562363;
6004.90134;0.987406084;
6004.912722;0.980685336;
6004.924102;0.971319519;
6004.935482;0.960015664;
6004.946862;0.946064491;
6004.958241;0.928841025;
6004.969619;0.912719589;
6004.980996;0.89708559;
6004.992373;0.88146339;
6005.00375;0.869128781;
6005.015125;0.862263756;
6005.0265;0.860639719;
6005.037875;0.865156639;
6005.049248;0.874809226;
6005.060621;0.887004103;
6005.071994;0.901970454;
6005.083366;0.918194709;
6005.094737;0.932888812;
6005.106108;0.94648682;
6005.117478;0.958328597;
6005.128847;0.968615779;
6005.140216;0.976817413;
6005.151584;0.983748942;
6005.162951;0.988144984;
6005.174318;0.991264549;
6005.185684;0.993694978;
6005.19705;0.995282642;
6005.208415;0.995917695;
6005.219779;0.996082827;
6005.231143;0.994718982;
6005.242506;0.993041758;
6005.253868;0.991094167;
6005.26523;0.989896526;
6005.276591;0.98826781;
6005.287951;0.986956227;
6005.299311;0.985340849;
6005.31067;0.982830097;
6005.322029;0.980554741;
6005.333387;0.977631435;
6005.344744;0.973718941;
6005.356101;0.969728586;
6005.367457;0.964548767;
6005.378813;0.957713514;
6005.390168;0.948645507;
6005.401522;0.936316073;
6005.412875;0.921448303;
6005.424228;0.901767399;
6005.435581;0.87566927;
6005.446932;0.84344295;
6005.458283;0.803280617;
6005.469634;0.753476534;
6005.480983;0.698363046;
6005.492333;0.641650173;
6005.503681;0.587307898;
6005.515029;0.543687984;
6005.526376;0.514282492;
6005.537723;0.50404637;
6005.549069;0.513196943;
6005.560414;0.540832341;
6005.571759;0.5820859;
6005.583103;0.631902388;
6005.594447;0.686496148;
6005.60579;0.740029498;
6005.617132;0.788888861;
6005.628473;0.832848511;
6005.639814;0.869705091;
6005.651155;0.900663326;
6005.662494;0.925777516;
6005.673834;0.94540979;
6005.685172;0.960503356;
6005.69651;0.972589813;
6005.707847;0.981264847;
6005.719184;0.987907998;
6005.730519;0.992781821;
6005.741855;0.996034923;
6005.753189;0.998529912;
6005.764524;0.999141573;
6005.775857;0.999865358;
6005.78719;1.001091916;
6005.798522;1.001128775;
6005.809853;1.001083862;
6005.821184;1.001489997;
6005.832515;1.001222107;
6005.843844;1.001449878;
6005.855173;1.001675163;
6005.866502;1.00098072;
6005.877829;1.000652126;
6005.889156;1.001069988;
6005.900483;1.000293832;
6005.911809;0.999999439;
6005.923134;0.999639668;
6005.934459;0.998008233;
6005.945783;0.997494677;
6005.957106;0.997456558;
