Selección de líneas de hierro para Arcturus-PEPSI;;;;;;;;
Rango:;3940-9130;;;;;;;
"Copiadas de Nave (solo calidad A; en total hay 1312)";;;;;;;;
;;;;;;;;
;;;;;;;;
;Aparentemente buenas (481);;;;;posibles mezclas (338);;
;;;;;;;;
;l vac;l aire;c;;;l vac;l aire;c
;;;;;;;;
;39.419.931;39.408.776;0.958;;;39.423.909;39.412.753;3.266
;4.030.768;40.296.293;3.266;;;3.948.112;39.469.949;3.211
;40.608.601;40.597.135;3.546;;;39.492.147;39.480.973;3.241
;40.749.125;40.737.623;3.266;;;40.015.883;40.004.572;2.99
;40.813.611;40.802.092;3.283;;;40.027.931;40.016.617;2.176
;40.861.573;40.850.041;2.845;;;40.074.434;40.063.108;3.267
;40.882.476;40.870.939;3.332;;;40.125.414;40.114.075;2.559
;40.903.712;40.892.169;2.949;;;4033.1;40.319.607;3.274
;41.102.156;41.090.561;3.292;;;40.856.446;40.844.915;3.332
;41.213.689;41.202.065;2.99;;;41.018.952;41.007.379;0.859
;41.410.949;41.399.273;0.99;;;41.024.185;41.012.611;3.396
;41.556.701;41.544.987;2.831;;;41.052.718;41.041.136;3.266
;4.155.977;41.548.055;3.368;;;41.075.817;41.064.229;3.396
;4.159.965;41.587.924;3.43;;;41.141.194;41.129.589;4.178
;4.176.813;41.756.361;2.845;;;41.229.655;41.218.026;2.831
;41.860.712;41.848.918;2.831;;;41.236.785;41.225.155;2.845
;42.083.123;42.071.271;2.831;;;41.270.443;41.258.804;2.845
;42.097.896;4.208.604;3.396;;;41.273.466;41.261.827;3.332
;42.234.023;42.222.131;2.449;;;41.340.649;41.328.992;2.845
;4.234.795;42.336.028;2.482;;;41.381.645;41.369.977;3.415
;42.654.037;42.642.034;3.368;;;41.472.334;41.460.642;2.99
;42.681.654;42.669.645;2.727;;;41.488.386;4.147.669;1.485
;42.866.478;4.285.442;3.237;;;41.514.194;41.502.491;3.43
;43.449.186;43.436.975;3.047;;;41.589.523;41.577.801;3.417
;43.477.745;43.465.526;3.301;;;41.777.431;41.765.659;3.368
;43.501.591;43.489.366;2.99;;;41.835.613;41.823.826;3.017
;44.338.124;44.325.678;3.573;;;41.882.189;4.187.039;2.449
;44.381.663;44.369.206;3.047;;;41.889.756;41.877.954;2.425
;44.435.861;4.442.339;2.198;;;41.965.112;41.953.291;3.332
;44.467.194;44.454.715;0.087;;;41.973.907;41.962.083;3.396
;44.480.804;44.468.321;3.686;;;42.011.668;41.999.835;0.087
;44.483.788;44.471.304;2.198;;;4.203.937;4.202.753;3.047
;44.489.658;44.477.173;2.223;;;42.047.521;42.035.678;1.011
;44.556.312;4.454.381;2.831;;;42.067.233;42.055.385;3.417
;44.575.765;44.563.257;3.047;;;42.148.343;42.136.474;2.845
;4.462.905;44.616.528;0.087;;;42.215.304;42.203.417;3.071
;44.828.668;44.816.093;3.686;;;42.253.613;42.241.717;3.368
;4.485.478;44.842.198;3.602;;;42.257.025;42.245.128;3.43
;44.869.341;44.856.756;3.686;;;42.309.428;42.297.516;1.485
;44.909.987;44.897.391;0.121;;;42.339.182;42.327.263;0.11
;44.913.437;4.490.084;3.017;;;42.392.172;42.380.238;3.417
;44.958.241;44.945.632;2.198;;;42.400.035;4238.81;3.396
;45.038.539;45.025.909;3.573;;;42.595.145;42.583.158;0.087
;45.187.914;45.175.245;3.071;;;42.601.505;42.589.517;3.018
;45.491.224;45.478.474;3.546;;;42.690.276;42.678.265;3.111
;4.557.403;45.561.259;3.602;;;42.836.079;42.824.029;2.176
;45.994.054;45.981.171;3.283;;;42.893.523;42.881.458;2.758
;46.032.903;4.602.001;1.608;;;4.292.671;42.914.637;0.052
;46.042.305;4.602.941;1.485;;;42.953.328;42.941.248;1.485
;46.200.514;46.187.577;2.949;;;42.992.455;42.980.364;3.047
;46.205.818;4.619.288;3.602;;;43.057.516;43.045.408;2.949
;46.263.406;46.250.453;3.241;;;43.279.699;43.267.533;2.949
;4.631.417;46.301.203;2.279;;;43.283.124;43.270.956;3.546
;46.371.444;46.358.462;2.845;;;43.291.203;43.279.034;3.301
;4.638.802;46.375.034;3.283;;;43.382.657;43.370.463;1.557
;46.447.636;46.434.634;3.654;;;4.352.767;43.515.439;2.99
;46.801.554;46.788.458;3.602;;;43.597.242;43.584.991;2.949
;46.848.705;46.835.597;2.831;;;43.747.896;43.735.607;3.018
;47.062.646;47.049.481;3.686;;;43.771.597;43.759.301;0
;47.223.214;47.210.006;2.99;;;43.891.239;43.878.912;3.071
;47.371.686;47.358.439;4.076;;;43.896.397;43.884.068;3.602
;47.380.983;47.367.734;3.211;;;44.025.261;44.012.899;3.602
;47.428.559;47.415.297;2.831;;;4423.81;44.225.681;2.845
;47.881.452;4.786.807;3.017;;;4.431.433;44.301.891;3.017
;47.891.654;47.878.269;2.998;;;4.431.858;4.430.614;2.223
;47.900.956;47.887.569;3.237;;;44.344.634;44.332.187;3.654
;47.996.061;47.982.649;4.186;;;44.395.893;44.383.433;3.686
;48.007.476;47.994.061;3.64;;;44.440.788;44.428.316;2.176
;4.834.078;48.327.276;3.64;;;44.515.648;44.503.156;3.111
;48.408.967;48.395.445;3.267;;;44.562.777;44.550.273;3.881
;4.844.497;48.431.438;3.396;;;44.593.315;44.580.802;3.883
;4.847.002;48.456.482;3.635;;;44.603.692;44.591.176;2.176
;4.861.099;48.597.414;2.875;;;44.678.053;44.665.518;2.831
;48.726.789;48.713.182;2.865;;;44.706.298;44.693.756;3.654
;48.772.394;48.758.776;3.332;;;44.813.936;44.801.366;3.047
;48.835.069;48.821.434;3.417;;;44.839.971;44.827.393;3.654
;4.886.795;48.854.306;3.881;;;44.920.199;44.907.601;3.943
;48.876.964;48.863.318;4.154;;;4515.45;45.141.839;3.047
;48.942.253;48.928.589;4.217;;;45.324.187;45.311.482;1.485
;49.091.021;49.077.318;3.43;;;45.482.916;45.470.169;1.557
;49.107.542;49.093.835;3.928;;;45.613.662;45.600.881;3.602
;49.113.878;49.100.169;3.396;;;4576;45.747.179;2.279
;49.116.968;49.103.258;4.191;;;45.884.129;45.871.276;3.573
;49.119.359;49.105.648;4.217;;;45.973.482;45.960.605;3.602
;49.131.507;49.117.794;3.928;;;46.011.312;45.998.425;4.312
;49.186.028;4917.23;4.191;;;46.487.355;46.474.342;2.949
;49.193.855;49.180.125;4.23;;;46.632.754;46.619.703;2.99
;49.261.443;49.247.695;2.279;;;46.704.782;46.691.711;3.654
;49.287.937;49.274.182;3.573;;;46.816.048;46.802.948;1.608
;49.401.923;49.388.138;2.875;;;47.085.916;47.072.745;3.241
;49.406.177;49.392.391;4.217;;;47.088.049;47.074.877;2.845
;49.410.654;49.396.867;0.859;;;47.298.685;47.285.457;3.654
;49.438.387;49.424.592;4.22;;;47.303.421;47.290.192;4.076
;49.477.686;49.463.881;3.368;;;47.349.157;47.335.917;1.485
;49.514.876;4.950.106;3.417;;;47.389.605;47.376.354;3.267
;49.639.567;49.625.719;4.178;;;4.741.666;47.403.401;3.018
;49.674.747;49.660.889;3.332;;;47.471.274;47.458.001;3.654
;49.692.836;49.678.974;4.191;;;47.589.085;4.757.578;3.274
;49.713.044;49.699.176;4.217;;;47.909.897;47.896.508;3.546
;49.838.901;49.824.999;4.103;;;47.925.855;47.912.462;3.274
;49.846.411;49.832.507;4.154;;;48.019.909;4.800.649;4.143
;49.852.434;49.838.529;4.103;;;48.042.222;48.028.797;3.642
;49.866.438;49.852.529;3.928;;;48.042.222;48.028.797;3.694
;49.869.382;49.855.473;2.865;;;48.090.525;48.077.088;3.368
;49.876.138;49.862.226;4.217;;;48.398.637;48.385.118;3.417
;49.955.228;49.941.295;0.915;;;48.453.671;48.440.138;3.546
;50.005.071;49.991.125;4.186;;;48.570.297;48.556.732;3.368
;50.032.589;50.018.636;3.881;;;48.650.023;48.636.437;3.43
;50.041.883;50.027.927;3.396;;;48.734.986;48.721.378;2.882
;50.071.086;50.057.123;3.883;;;48.885.587;48.871.939;4.191
;50.075.155;50.061.191;2.832;;;48.921.209;48.907.551;2.875
;50.163.412;50.149.425;3.943;;;48.928.584;48.914.924;2.851
;50.236.362;50.222.355;3.984;;;49.316.916;49.303.154;3.96
;50.295.286;50.281.264;3.573;;;49.347.184;49.333.413;4.23
;50.456.179;50.442.114;2.851;;;49.470.177;49.456.374;4.209
;50.560.519;50.546.426;3.64;;;49.718.828;49.704.958;3.635
;50.614.898;5.060.079;0;;;49.903.419;49.889.501;4.154
;50.685.622;50.671.496;4.22;;;50.054.402;50.040.443;4.209
;50.701.789;50.687.658;2.94;;;50.245.876;50.231.866;4.283
;5.076.163;50.747.483;4.22;;;50.291.588;50.277.567;4.209
;50.847.555;50.833.386;0.958;;;50.310.203;50.296.176;3.415
;50.921.929;5.090.774;4.256;;;50.321.816;50.307.786;3.237
;5.128.788;51.273.593;0.915;;;50.512.278;50.498.198;2.279
;51.388.135;51.373.822;4.178;;;50.666.048;50.651.927;3.642
;51.431.715;5.141.739;2.424;;;50.734.923;50.720.784;4.283
;51.522.744;51.508.395;0.99;;;50.740.862;50.726.721;4.22
;51.637.108;51.622.729;4.178;;;50.776.796;50.762.646;4.301
;51.677.212;51.662.822;0;;;50.803.906;50.789.748;4.301
;52.166.327;52.151.806;3.266;;;50.806.389;5.079.223;2.198
;5.218.842;52.173.893;3.211;;;5.081.156;5079.74;0.99
;52.246.397;52.231.855;3.635;;;50.984.186;5.096.998;4.283
;52.298.323;52.283.767;4.22;;;51.004.984;50.990.773;3.984
;52.343.971;52.329.403;2.94;;;51.110.759;5.109.652;4.301
;52.439.504;52.424.911;3.634;;;51.172.037;51.157.781;3.573
;52.452.366;52.437.769;4.256;;;51.251.476;5123.72;1.011
;52.516.703;52.502.089;0.121;;;51.328.984;51.314.687;2.223
;5.254.924;52.534.617;3.283;;;51.351.188;51.336.885;4.178
;52.832.601;52.817.904;3.038;;;5.149.477;51.480.428;4.283
;53.002.502;52.987.758;3.642;;;51.496.634;51.482.292;4.256
;53.088.376;5.307.361;1.608;;;51.604.947;51.590.576;4.283
;53.235.213;53.220.408;2.279;;;51.893.589;51.879.142;4.143
;53.276.244;53.261.428;3.573;;;51.963.884;51.949.418;1.557
;53.414.147;53.399.294;3.266;;;51.969.191;51.954.723;4.22
;53.663.632;53.648.713;4.445;;;51.975.065;51.960.596;4.256
;53.668.911;53.653.991;3.573;;;52.001.588;51.987.111;2.223
;53.714.552;53.699.619;4.371;;;52.177.263;5.216.274;1.608
;53.752.029;53.737.086;4.473;;;52.269.809;52.255.261;0.11
;53.810.699;5.379.574;3.694;;;52.275.211;52.260.661;3.415
;53.848.661;53.833.692;4.312;;;52.283.175;52.268.623;3.038
;53.909.777;53.894.792;4.415;;;5.248.511;52.470.504;0.087
;53.986.285;5.397.128;0.915;;;52.521.075;5.250.646;2.198
;53.997.803;53.982.794;4.445;;;52.647.711;52.633.063;3.266
;5.412.414;54.109.098;4.473;;;5265.33;5.263.865;3.573
;54.167.047;54.151.993;4.386;;;52.680.211;52.665.554;2.998
;54.255.759;54.240.682;4.32;;;52.710.039;52.695.374;0.859
;5.434.458;54.329.479;4.445;;;52.718.231;52.703.564;1.608
;54.360.344;54.345.238;1.011;;;52.746.311;52.731.636;3.292
;54.465.558;54.450.424;4.386;;;52.748.411;52.733.736;2.484
;54.644.776;54.629.595;4.473;;;52.850.913;5.283.621;3.241
;54.647.944;54.632.762;4.434;;;52.899.963;52.885.247;3.694
;5.465.798;54.642.796;4.143;;;53.256.601;5.324.179;3.211
;54.679.152;54.663.962;4.371;;;53.314.717;53.299.891;4.076
;5.468.507;54.669.878;3.573;;;53.343.831;53.328.997;1.557
;54.742.298;54.727.091;4.209;;;53.425.096;5.341.024;1.608
;54.754.215;54.739.005;4.154;;;53.512.255;53.497.376;4.386
;54.990.434;54.975.161;1.011;;;53.729.834;53.714.897;0.958
;55.029.937;55.014.653;0.958;;;53.946.671;53.931.676;3.241
;55.239.805;55.224.465;4.209;;;53.991.185;53.976.178;3.634
;55.270.791;55.255.443;4.23;;;54.053.239;54.038.215;4.076
;55.454.754;55.439.357;4.217;;;54.072.781;54.057.752;0.99
;55.480.463;55.465.058;4.371;;;54.106.373;54.091.336;4.371
;55.642.512;55.627.065;4.434;;;54.480.967;54.465.829;4.415
;55.711.647;55.696.181;3.417;;;54.778.102;54.762.885;4.143
;55.776.371;55.760.888;3.43;;;5.478.086;54.765.642;4.103
;55.863.154;55.847.647;3.573;;;54.846.223;54.830.988;4.154
;55.883.071;55.867.559;3.368;;;54.892.708;5.487.746;4.32
;55.891.254;5.587.574;4.143;;;54.950.251;54.934.988;4.103
;56.201.925;56.186.327;4.209;;;5.508.309;55.067.791;0.99
;56.211.554;56.195.954;4.386;;;55.447.292;55.431.896;4.913
;56.255.831;5.624.022;4.386;;;55.564.378;55.548.951;4.548
;56.355.103;56.339.465;4.991;;;55.617.557;55.602.116;4.434
;56.373.869;56.358.226;4.256;;;55.672.496;5.565.704;4.607
;56.382.607;56.366.962;3.64;;;55.689.371;55.673.911;2.608
;56.386.727;56.371.081;3.642;;;55.743.899;55.728.424;3.396
;56.398.271;56.382.621;4.22;;;56.017.789;56.002.242;4.26
;56.515.554;56.499.873;5.099;;;56.168.554;56.152.966;2.588
;56.530.375;5.651.469;4.473;;;56.172.028;56.156.439;3.332
;56.538.867;5.652.318;4.26;;;56.220.526;56.204.924;4.154
;56.554.359;56.538.668;4.386;;;56.261.035;56.245.422;3.417
;56.567.459;56.551.765;5.064;;;56.474.008;56.458.338;4.607
;56.570.595;5655.49;5.033;;;56.511.986;56.496.306;3.634
