#  wavelength    Flux         Std.Dev.
#  [Angstroem]   [F(5500)]    [N/A]

  6000.021   21722.9175    0.1
  6000.039   21820.7885    0.1
  6000.056   21905.1210    0.1
  6000.073   21915.3133    0.1
  6000.091   21838.4375    0.1
  6000.108   21769.8128    0.1
  6000.126   21615.9852    0.1
  6000.143   21470.8594    0.1
  6000.161   21337.0722    0.1
  6000.178   21307.0197    0.1
  6000.195   21500.0761    0.1
  6000.213   21681.5146    0.1
  6000.230   21776.9904    0.1
  6000.248   21885.4935    0.1
  6000.265   21918.9027    0.1
  6000.282   21918.5372    0.1
  6000.300   21949.8835    0.1
  6000.317   21998.8221    0.1
  6000.335   21976.7250    0.1
  6000.352   22138.5134    0.1
  6000.369   22162.0138    0.1
  6000.387   22150.8396    0.1
  6000.404   22045.5045    0.1
  6000.422   21894.1092    0.1
  6000.439   21780.9135    0.1
  6000.456   21642.7889    0.1
  6000.474   21379.1889    0.1
  6000.491   20984.1990    0.1
  6000.509   20710.2521    0.1
  6000.526   20273.4484    0.1
  6000.544   19975.2398    0.1
  6000.561   19650.2788    0.1
  6000.578   19644.5627    0.1
  6000.596   19741.1374    0.1
  6000.613   19922.2946    0.1
  6000.631   20273.6019    0.1
  6000.648   20676.4462    0.1
  6000.665   21042.2874    0.1
  6000.683   21332.0083    0.1
  6000.700   21566.4681    0.1
  6000.718   21742.2965    0.1
  6000.735   21793.9091    0.1
  6000.752   21835.1337    0.1
  6000.770   21888.0045    0.1
  6000.787   21990.3671    0.1
  6000.805   21989.5930    0.1
  6000.822   21968.4549    0.1
  6000.840   21880.8352    0.1
  6000.857   21862.3976    0.1
  6000.874   21895.4380    0.1
  6000.892   21864.9262    0.1
  6000.909   21809.5699    0.1
  6000.927   21621.9053    0.1
  6000.944   21672.0800    0.1
  6000.961   21691.9274    0.1
  6000.979   21790.8590    0.1
  6000.996   21746.2013    0.1
  6001.014   21856.8545    0.1
  6001.031   21877.0537    0.1
  6001.048   21889.4577    0.1
  6001.066   22020.1321    0.1
  6001.083   22016.1606    0.1
  6001.101   22064.6585    0.1
  6001.118   22208.2251    0.1
  6001.136   22255.5988    0.1
  6001.153   22160.7188    0.1
  6001.170   22198.7844    0.1
  6001.188   22230.6279    0.1
  6001.205   22199.3400    0.1
  6001.223   22176.4640    0.1
  6001.240   22279.5128    0.1
  6001.257   22249.7760    0.1
  6001.275   22215.6882    0.1
  6001.292   22296.4384    0.1
  6001.310   22253.2626    0.1
  6001.327   22224.5403    0.1
  6001.344   22168.9560    0.1
  6001.362   22138.6751    0.1
  6001.379   22140.7173    0.1
  6001.397   22116.9287    0.1
  6001.414   22101.5949    0.1
